iter	Passed	Remaining
0	0	48
1	0	48
2	1	45
3	1	41
4	2	39
5	2	39
6	2	38
7	3	37
8	3	36
9	4	36
10	4	35
11	4	35
12	5	34
13	5	34
14	5	33
15	6	33
16	6	33
17	7	32
18	7	32
19	8	32
20	8	32
21	9	32
22	9	31
23	9	31
24	10	30
25	10	30
26	11	29
27	11	29
28	11	28
29	12	28
30	12	28
31	13	27
32	13	27
33	13	26
34	14	26
35	14	26
36	15	25
37	15	25
38	15	24
39	16	24
40	16	24
41	16	23
42	17	22
43	17	22
44	17	21
45	18	21
46	18	21
47	19	20
48	19	20
49	19	19
50	20	19
51	20	19
52	21	18
53	21	18
54	21	17
55	22	17
56	22	16
57	22	16
58	23	16
59	23	15
60	23	15
61	24	14
62	24	14
63	25	14
64	25	13
65	25	13
66	26	12
67	26	12
68	27	12
69	27	11
70	27	11
71	28	10
72	28	10
73	28	10
74	29	9
75	29	9
76	30	9
77	30	8
78	31	8
79	31	7
80	32	7
81	32	7
82	32	6
83	33	6
84	33	5
85	34	5
86	34	5
87	34	4
88	35	4
89	35	3
90	35	3
91	36	3
92	36	2
93	37	2
94	37	1
95	37	1
96	38	1
97	38	0
98	38	0
99	39	0
